~id,~label,type:String,balance:Double,bank_name:String,status:String,created_date:Date,fraud_flag:Boolean
A000001201,account,savings,193552.09,Central Bank of India,active,2025-08-15T22:16:49Z,False
A000001202,account,checking,25764.02,IDBI Bank,active,2024-04-29T22:16:49Z,True
A000001203,account,credit,-40374.38,ICICI Bank,active,2023-01-13T22:16:49Z,True
A000001204,account,credit,-23339.71,ICICI Bank,active,2025-02-06T22:16:49Z,False
A000001301,account,savings,321069.95,ICICI Bank,active,2023-07-28T22:16:49Z,False
A000001401,account,savings,373630.2,Central Bank of India,active,2022-12-31T22:16:49Z,False
A000001402,account,checking,33896.72,Yes Bank,active,2023-01-03T22:16:49Z,False
A000001501,account,credit,-46342.77,ICICI Bank,active,2024-12-27T22:16:49Z,True
A000001502,account,credit,-20970.22,Indian Bank,active,2024-09-09T22:16:49Z,False
A000001601,account,checking,22323.36,Central Bank of India,active,2024-04-29T22:16:49Z,False
A000001602,account,savings,323130.25,ICICI Bank,active,2023-05-02T22:16:49Z,False
A000001603,account,savings,445757.22,Axis Bank,active,2024-12-14T22:16:49Z,False
A000001701,account,savings,331676.57,Union Bank of India,active,2023-07-27T22:16:49Z,False
A000001702,account,checking,8045.2,Canara Bank,active,2023-08-18T22:16:49Z,False
A000001801,account,checking,40880.11,Yes Bank,active,2024-04-29T22:16:49Z,False
A000001802,account,credit,-49670.12,Canara Bank,active,2024-06-16T22:16:49Z,False
A000001901,account,checking,24003.16,Union Bank of India,active,2023-11-17T22:16:49Z,False
A000001902,account,savings,122591.48,Canara Bank,active,2024-01-31T22:16:49Z,False
A000002001,account,savings,225152.48,Syndicate Bank,active,2023-04-05T22:16:49Z,False
A000002002,account,savings,415351.42,Canara Bank,active,2023-06-19T22:16:49Z,False
A000002003,account,savings,311982.66,Indian Overseas Bank,active,2025-03-22T22:16:49Z,False
A000002004,account,checking,46125.36,ICICI Bank,active,2025-01-17T22:16:49Z,False
A000002101,account,credit,-43483.56,State Bank of India,active,2023-03-06T22:16:49Z,False
A000002201,account,savings,260361.16,Kotak Mahindra Bank,active,2023-11-09T22:16:49Z,False
A000002202,account,checking,20501.37,Punjab National Bank,active,2025-04-04T22:16:49Z,False
A000002301,account,savings,108014.61,Kotak Mahindra Bank,active,2023-06-28T22:16:49Z,False
A000002302,account,credit,-19298.73,HDFC Bank,active,2025-03-29T22:16:49Z,False
A000002303,account,credit,-49735.47,ICICI Bank,active,2023-05-20T22:16:49Z,False
A000002304,account,credit,-28231.13,ICICI Bank,active,2024-12-14T22:16:49Z,False
A000002401,account,credit,-3462.08,Central Bank of India,active,2025-02-22T22:16:49Z,True
A000002501,account,savings,227924.75,Kotak Mahindra Bank,active,2024-01-30T22:16:49Z,True
A000002601,account,credit,-6898.84,Syndicate Bank,active,2025-05-13T22:16:49Z,False
A000002602,account,checking,31719.72,Bank of Baroda,active,2023-10-17T22:16:49Z,False
A000002701,account,credit,-2211.02,Syndicate Bank,active,2023-12-21T22:16:49Z,True
A000002702,account,credit,-2100.35,Syndicate Bank,active,2024-08-25T22:16:49Z,False
A000002703,account,checking,44916.25,Indian Overseas Bank,active,2024-04-25T22:16:49Z,False
A000002704,account,credit,-35986.67,Bank of Baroda,active,2023-08-03T22:16:49Z,False
A000002801,account,savings,337377.43,Kotak Mahindra Bank,active,2024-01-24T22:16:49Z,False
A000002802,account,checking,30677.63,Indian Overseas Bank,active,2025-03-02T22:16:49Z,False
A000002901,account,checking,9883.55,Canara Bank,active,2024-05-13T22:16:49Z,False
A000002902,account,savings,211338.81,Canara Bank,active,2023-03-10T22:16:49Z,False
A000003001,account,savings,288850.02,Union Bank of India,active,2023-07-03T22:16:49Z,False
A000003002,account,checking,33692.32,Syndicate Bank,active,2023-07-09T22:16:49Z,False
A000003003,account,savings,191154.43,Central Bank of India,active,2024-05-23T22:16:49Z,False
A000003004,account,savings,434260.57,Indian Bank,active,2024-07-05T22:16:49Z,False
A000003101,account,savings,84288.32,Punjab National Bank,active,2025-06-04T22:16:49Z,True
A000003102,account,checking,27466.84,State Bank of India,active,2023-07-13T22:16:49Z,False
A000003103,account,savings,52860.27,Canara Bank,active,2025-06-15T22:16:49Z,False
A000003201,account,savings,221488.29,Yes Bank,active,2024-07-14T22:16:49Z,False
A000003202,account,checking,626.74,Canara Bank,active,2024-09-22T22:16:49Z,False
A000003301,account,credit,-36406.74,Indian Overseas Bank,active,2024-07-14T22:16:49Z,False
A000003302,account,savings,92021.18,Central Bank of India,active,2025-05-19T22:16:49Z,False
A000003303,account,credit,-27361.64,Syndicate Bank,active,2025-03-01T22:16:49Z,False
A000003401,account,savings,28963.13,Kotak Mahindra Bank,active,2025-06-28T22:16:49Z,False
A000003402,account,savings,96903.95,Indian Overseas Bank,active,2023-05-27T22:16:49Z,False
A000003501,account,credit,-1939.31,Indian Bank,active,2025-03-31T22:16:49Z,False
A000003502,account,savings,372617.56,Punjab National Bank,active,2024-12-24T22:16:49Z,False
A000003601,account,savings,343286.38,Indian Bank,active,2023-01-30T22:16:49Z,False
A000003701,account,credit,-40668.66,Yes Bank,active,2024-10-13T22:16:49Z,False
A000003702,account,checking,43396.33,Union Bank of India,active,2025-07-01T22:16:49Z,False
A000003801,account,savings,306906.58,Indian Bank,active,2024-07-17T22:16:49Z,False
A000003802,account,savings,49031.89,ICICI Bank,active,2025-07-27T22:16:49Z,False
A000003803,account,savings,90140.76,HDFC Bank,active,2025-02-15T22:16:49Z,False
A000003901,account,credit,-3087.81,Federal Bank,active,2023-05-22T22:16:49Z,False
A000003902,account,credit,-47085.0,Indian Overseas Bank,active,2024-03-17T22:16:49Z,True
A000004001,account,savings,279653.32,Federal Bank,active,2023-08-07T22:16:49Z,False
A000004002,account,credit,-21171.82,IDBI Bank,active,2023-09-21T22:16:49Z,False
A000004101,account,savings,108196.58,Indian Bank,active,2025-08-18T22:16:49Z,False
A000004201,account,savings,461013.88,Indian Bank,active,2024-09-18T22:16:49Z,False
A000004202,account,checking,20884.43,Punjab National Bank,active,2023-04-03T22:16:49Z,False
A000004301,account,savings,238451.47,HDFC Bank,active,2024-02-26T22:16:49Z,False
A000004401,account,savings,133862.29,Federal Bank,active,2024-10-13T22:16:49Z,False
A000004501,account,checking,785.29,Punjab National Bank,active,2024-11-01T22:16:49Z,False
A000004502,account,savings,166606.48,Axis Bank,active,2025-02-13T22:16:49Z,False
A000004503,account,checking,27485.12,Canara Bank,active,2023-09-29T22:16:49Z,False
A000004601,account,checking,33182.78,Yes Bank,active,2023-04-08T22:16:49Z,False
A000004602,account,checking,43383.78,Kotak Mahindra Bank,active,2025-01-16T22:16:49Z,False
A000004701,account,savings,313270.39,Kotak Mahindra Bank,active,2023-03-13T22:16:49Z,False
A000004801,account,savings,92883.47,Canara Bank,active,2023-08-27T22:16:49Z,True
A000004802,account,checking,44018.58,Federal Bank,active,2022-12-30T22:16:49Z,False
A000004803,account,checking,37305.93,Indian Overseas Bank,active,2025-04-07T22:16:49Z,False
A000004804,account,savings,66641.39,State Bank of India,active,2023-07-22T22:16:49Z,False
A000004901,account,savings,89362.02,IDBI Bank,active,2023-04-06T22:16:49Z,False
A000004902,account,credit,-33755.22,IDBI Bank,active,2023-03-16T22:16:49Z,False
A000004903,account,checking,38833.11,Kotak Mahindra Bank,active,2023-09-03T22:16:49Z,False
A000005001,account,credit,-27415.1,Punjab National Bank,active,2025-03-09T22:16:49Z,False
A000005002,account,credit,-22679.64,Kotak Mahindra Bank,active,2024-07-13T22:16:49Z,False
A000005101,account,savings,262384.84,Kotak Mahindra Bank,active,2023-08-27T22:16:49Z,False
A000005102,account,credit,-19396.37,Union Bank of India,active,2024-08-18T22:16:49Z,False
A000005201,account,savings,59659.44,Canara Bank,active,2022-12-31T22:16:49Z,False
A000005301,account,savings,333831.27,Central Bank of India,active,2024-10-05T22:16:49Z,False
A000005401,account,savings,384487.48,Indian Bank,active,2024-08-28T22:16:49Z,False
A000005402,account,savings,379462.55,ICICI Bank,active,2024-11-14T22:16:49Z,False
A000005403,account,savings,347615.1,Indian Overseas Bank,active,2024-10-07T22:16:49Z,False
A000005404,account,credit,-39507.73,Axis Bank,active,2023-12-23T22:16:49Z,True
A000005501,account,savings,399982.61,Federal Bank,active,2024-07-13T22:16:49Z,True
A000005502,account,checking,28064.73,Axis Bank,active,2025-08-29T22:16:49Z,False
A000005503,account,credit,-35918.66,ICICI Bank,active,2024-10-29T22:16:49Z,False
A000005601,account,credit,-16090.12,State Bank of India,active,2025-02-08T22:16:49Z,False
A000005701,account,savings,186420.2,Central Bank of India,active,2025-01-31T22:16:49Z,False
A000005801,account,savings,230224.84,Punjab National Bank,active,2025-09-05T22:16:49Z,False
A000005901,account,checking,13904.81,Indian Bank,active,2023-07-11T22:16:49Z,False
A000006001,account,credit,-37758.75,ICICI Bank,active,2024-10-26T22:16:49Z,False
A000006002,account,checking,27074.8,HDFC Bank,active,2025-04-29T22:16:49Z,True
A000006003,account,credit,-47477.2,Kotak Mahindra Bank,active,2025-07-16T22:16:49Z,True
A000006101,account,checking,11661.54,Bank of Baroda,active,2025-04-15T22:16:49Z,False
A000006102,account,credit,-37097.36,Yes Bank,active,2024-08-04T22:16:49Z,False
A000006103,account,credit,-33483.6,Indian Bank,active,2024-06-02T22:16:49Z,False
A000006201,account,credit,-46453.8,Central Bank of India,active,2024-03-13T22:16:49Z,False
A000006202,account,credit,-29327.9,Bank of Baroda,active,2024-02-26T22:16:49Z,False
A000006301,account,checking,8891.08,Kotak Mahindra Bank,active,2025-06-30T22:16:49Z,False
A000006302,account,credit,-9296.66,Kotak Mahindra Bank,active,2024-10-09T22:16:49Z,False
A000006401,account,checking,19560.13,IDBI Bank,active,2025-02-21T22:16:49Z,False
A000006402,account,checking,15056.79,Central Bank of India,active,2023-02-12T22:16:49Z,False
A000006501,account,credit,-34093.63,Kotak Mahindra Bank,active,2024-07-21T22:16:49Z,False
A000006502,account,credit,-39439.2,Union Bank of India,active,2024-05-11T22:16:49Z,False
A000006601,account,savings,93709.73,State Bank of India,active,2024-01-27T22:16:49Z,False
A000006602,account,credit,-38162.5,Indian Overseas Bank,active,2024-07-16T22:16:49Z,False
A000006701,account,savings,451889.05,State Bank of India,active,2024-05-17T22:16:49Z,False
A000006702,account,checking,28740.87,Indian Bank,active,2024-07-05T22:16:49Z,False
A000006801,account,checking,49205.18,Canara Bank,active,2024-01-09T22:16:49Z,False
A000006802,account,savings,418969.5,Federal Bank,active,2023-07-14T22:16:49Z,False
A000006803,account,credit,-27990.75,Union Bank of India,active,2025-02-06T22:16:49Z,False
A000006901,account,credit,-30442.31,Bank of Baroda,active,2023-08-20T22:16:49Z,False
A000007001,account,savings,428363.97,Canara Bank,active,2024-08-21T22:16:49Z,False
A000007002,account,credit,-21696.56,Union Bank of India,active,2023-03-07T22:16:49Z,False
A000007003,account,savings,127414.53,IDBI Bank,active,2023-11-03T22:16:49Z,False
A000007004,account,credit,-27327.81,Indian Overseas Bank,active,2023-07-15T22:16:49Z,False
A000007101,account,credit,-49956.62,HDFC Bank,active,2023-10-30T22:16:49Z,False
A000007201,account,credit,-149.21,ICICI Bank,active,2024-08-31T22:16:49Z,False
A000007202,account,checking,4114.79,IDBI Bank,active,2023-07-24T22:16:49Z,False
A000007301,account,savings,19484.3,HDFC Bank,active,2024-09-29T22:16:49Z,False
A000007302,account,savings,203348.42,Axis Bank,active,2023-06-06T22:16:49Z,False
A000007303,account,credit,-27081.48,Canara Bank,active,2023-08-13T22:16:49Z,False
A000007304,account,savings,19401.96,Canara Bank,active,2024-04-27T22:16:49Z,False
A000007401,account,savings,213679.52,Kotak Mahindra Bank,active,2024-10-12T22:16:49Z,False
A000007501,account,savings,90527.02,ICICI Bank,active,2023-09-17T22:16:49Z,False
A000007601,account,credit,-7810.92,Syndicate Bank,active,2024-04-18T22:16:49Z,False
A000007602,account,credit,-3866.35,HDFC Bank,active,2023-11-19T22:16:49Z,False
A000007603,account,savings,217901.15,Indian Bank,active,2023-12-18T22:16:49Z,False
A000007701,account,savings,37691.33,Syndicate Bank,active,2025-07-16T22:16:49Z,False
A000007702,account,savings,108866.42,IDBI Bank,active,2025-03-11T22:16:49Z,False
A000007801,account,credit,-7249.8,ICICI Bank,active,2024-07-15T22:16:49Z,False
A000007802,account,checking,43123.73,Axis Bank,active,2024-01-13T22:16:49Z,False
A000007901,account,credit,-11569.68,HDFC Bank,active,2024-07-01T22:16:49Z,False
A000007902,account,checking,40504.85,Punjab National Bank,active,2024-06-03T22:16:49Z,False
A000007903,account,savings,279685.0,State Bank of India,active,2023-10-01T22:16:49Z,False
A000007904,account,savings,67223.29,Central Bank of India,active,2025-01-08T22:16:49Z,False
A000008001,account,credit,-18329.88,ICICI Bank,active,2024-08-11T22:16:49Z,False
A000008002,account,checking,26592.92,Central Bank of India,active,2024-06-30T22:16:49Z,False
A000008101,account,credit,-6443.43,Axis Bank,active,2023-07-31T22:16:49Z,False
A000008102,account,savings,160911.44,Indian Overseas Bank,active,2024-04-12T22:16:49Z,False
A000008201,account,checking,44907.5,Central Bank of India,active,2023-01-02T22:16:49Z,False
A000008301,account,credit,-48925.89,Axis Bank,active,2025-07-07T22:16:49Z,True
A000008302,account,savings,417638.81,Indian Bank,active,2024-07-15T22:16:49Z,False
A000008401,account,savings,81466.1,Punjab National Bank,active,2025-07-29T22:16:49Z,False
A000008402,account,credit,-43676.32,Indian Overseas Bank,active,2024-08-27T22:16:49Z,False
A000008403,account,credit,-14643.28,Indian Bank,active,2024-09-22T22:16:49Z,False
A000008404,account,checking,27039.34,Union Bank of India,active,2024-03-12T22:16:49Z,False
A000008501,account,credit,-40242.51,Bank of Baroda,active,2023-07-02T22:16:49Z,False
A000008601,account,checking,43727.66,ICICI Bank,active,2025-02-01T22:16:49Z,False
A000008602,account,checking,37102.23,Federal Bank,active,2023-06-10T22:16:49Z,False
A000008701,account,credit,-26894.0,Canara Bank,active,2025-02-17T22:16:49Z,False
A000008702,account,checking,14544.21,Syndicate Bank,active,2025-07-28T22:16:49Z,False
A000008801,account,savings,60557.98,Indian Overseas Bank,active,2024-04-23T22:16:49Z,False
A000008802,account,savings,299846.77,Yes Bank,active,2024-01-23T22:16:49Z,False
A000008901,account,checking,26527.66,ICICI Bank,active,2024-04-01T22:16:49Z,False
A000009001,account,credit,-22444.36,Punjab National Bank,active,2024-07-09T22:16:49Z,False
A000009002,account,savings,59166.26,Canara Bank,active,2023-02-07T22:16:49Z,True
A000009003,account,checking,15647.52,Yes Bank,active,2025-04-20T22:16:49Z,False
A000009101,account,credit,-39729.94,Axis Bank,active,2025-03-04T22:16:49Z,False
A000009102,account,savings,46298.88,Indian Overseas Bank,active,2023-01-12T22:16:49Z,False
A000009103,account,checking,8111.81,Bank of Baroda,active,2024-04-10T22:16:49Z,False
A000009201,account,credit,-20530.97,IDBI Bank,active,2023-10-21T22:16:49Z,False
A000009202,account,savings,417536.33,Kotak Mahindra Bank,active,2024-07-02T22:16:49Z,False
A000009301,account,checking,11371.08,Federal Bank,active,2024-11-16T22:16:49Z,False
A000009302,account,checking,9520.37,ICICI Bank,active,2023-03-08T22:16:49Z,False
A000009303,account,checking,46960.19,Yes Bank,active,2025-03-10T22:16:49Z,True
A000009304,account,credit,-25417.58,Punjab National Bank,active,2024-07-31T22:16:49Z,False
A000009401,account,checking,23843.73,Kotak Mahindra Bank,active,2024-05-01T22:16:49Z,False
A000009402,account,savings,384231.78,Punjab National Bank,active,2025-05-07T22:16:49Z,False
A000009403,account,checking,11618.01,Canara Bank,active,2025-08-10T22:16:49Z,True
A000009404,account,savings,415325.92,Syndicate Bank,active,2023-10-16T22:16:49Z,True
A000009501,account,savings,192431.31,Indian Bank,active,2023-04-20T22:16:49Z,False
A000009502,account,checking,1895.46,Union Bank of India,active,2024-02-17T22:16:49Z,False
A000009503,account,checking,44246.54,Union Bank of India,active,2024-04-24T22:16:49Z,False
A000009504,account,checking,35814.59,Syndicate Bank,active,2023-07-20T22:16:49Z,False
A000009601,account,checking,17628.34,Bank of Baroda,active,2024-12-30T22:16:49Z,False
A000009602,account,checking,29667.33,ICICI Bank,active,2023-04-04T22:16:49Z,False
A000009603,account,checking,8571.98,Indian Bank,active,2025-08-02T22:16:49Z,False
A000009604,account,checking,28445.67,Federal Bank,active,2024-12-10T22:16:49Z,True
A000009701,account,credit,-7633.3,ICICI Bank,active,2023-05-03T22:16:49Z,False
A000009801,account,checking,25281.51,Central Bank of India,active,2024-06-23T22:16:49Z,False
A000009802,account,checking,10083.84,Kotak Mahindra Bank,active,2024-12-26T22:16:49Z,False
A000009901,account,savings,373470.32,Central Bank of India,active,2023-04-29T22:16:49Z,False
A000010001,account,savings,101793.26,Indian Overseas Bank,active,2025-04-23T22:16:49Z,True
A000010002,account,checking,32967.67,Union Bank of India,active,2023-11-20T22:16:49Z,False
A000010101,account,checking,22029.82,Indian Overseas Bank,active,2023-04-10T22:16:49Z,False
A000010201,account,credit,-30765.49,Yes Bank,active,2023-02-28T22:16:49Z,False
A000010301,account,credit,-29685.56,HDFC Bank,active,2024-12-03T22:16:49Z,False
A000010302,account,checking,23607.46,Federal Bank,active,2023-02-04T22:16:49Z,False
A000010401,account,credit,-15712.33,Indian Bank,active,2024-06-04T22:16:49Z,False
A000010402,account,credit,-43324.51,Union Bank of India,active,2023-10-07T22:16:49Z,False
A000010403,account,checking,39996.48,Axis Bank,active,2025-06-15T22:16:49Z,False
A000010501,account,savings,8043.34,Federal Bank,active,2023-07-11T22:16:49Z,False
A000010502,account,checking,41380.15,Syndicate Bank,active,2025-05-11T22:16:49Z,False
A000010503,account,savings,96081.54,Indian Overseas Bank,active,2024-11-19T22:16:49Z,False
A000010504,account,checking,6596.95,Axis Bank,active,2024-01-04T22:16:49Z,False
A000010601,account,credit,-14521.7,HDFC Bank,active,2025-09-04T22:16:49Z,False
A000010602,account,credit,-30953.12,Kotak Mahindra Bank,active,2023-10-23T22:16:49Z,False
A000010603,account,credit,-47943.75,Union Bank of India,active,2024-12-17T22:16:49Z,False
A000010604,account,checking,46523.31,IDBI Bank,active,2025-04-27T22:16:49Z,True
A000010701,account,savings,235653.52,Union Bank of India,active,2023-09-18T22:16:49Z,False
A000010801,account,savings,375218.39,Indian Overseas Bank,active,2024-02-11T22:16:49Z,False
A000010901,account,savings,165384.03,HDFC Bank,active,2023-11-08T22:16:49Z,False
A000010902,account,checking,16313.28,Canara Bank,active,2025-02-05T22:16:49Z,False
A000011001,account,checking,23874.34,Federal Bank,active,2025-06-09T22:16:49Z,False
A000011002,account,checking,30732.0,Federal Bank,active,2023-12-04T22:16:49Z,False
A000011101,account,checking,15089.62,Canara Bank,active,2023-10-10T22:16:49Z,False
A000011201,account,checking,31228.14,Indian Overseas Bank,active,2024-09-25T22:16:49Z,False
A000011202,account,savings,106323.12,ICICI Bank,active,2023-08-07T22:16:49Z,False
A000011203,account,checking,43593.63,Punjab National Bank,active,2024-06-22T22:16:49Z,False
A000011301,account,credit,-1842.92,Kotak Mahindra Bank,active,2023-06-09T22:16:49Z,False
A000011302,account,savings,68421.86,Axis Bank,active,2025-05-18T22:16:49Z,False
A000011401,account,savings,52229.1,Federal Bank,active,2024-07-11T22:16:49Z,False
A000011501,account,savings,235150.98,IDBI Bank,active,2025-01-15T22:16:49Z,False
A000011601,account,checking,15252.23,Axis Bank,active,2024-02-17T22:16:49Z,True
A000011602,account,savings,180034.59,Indian Overseas Bank,active,2024-09-09T22:16:49Z,False
A000011603,account,savings,414146.4,HDFC Bank,active,2023-06-06T22:16:49Z,True
A000011701,account,savings,487355.22,Punjab National Bank,active,2023-05-20T22:16:49Z,False
A000011702,account,credit,-44729.45,Punjab National Bank,active,2023-04-02T22:16:49Z,False
A000011703,account,checking,7935.92,Central Bank of India,active,2023-09-15T22:16:49Z,False
A000011801,account,savings,69859.17,Federal Bank,active,2024-07-13T22:16:49Z,False
A000011802,account,checking,47596.84,Yes Bank,active,2023-01-17T22:16:49Z,True
A000011901,account,credit,-47109.51,Central Bank of India,active,2024-07-07T22:16:49Z,False
A000012001,account,credit,-14055.97,Canara Bank,active,2024-03-26T22:16:49Z,False
A000012002,account,checking,10765.35,Central Bank of India,active,2024-03-25T22:16:49Z,False
A000012101,account,credit,-21361.71,Canara Bank,active,2023-09-09T22:16:49Z,False
A000012201,account,savings,213018.48,Canara Bank,active,2024-05-10T22:16:49Z,False
A000012301,account,savings,242897.44,IDBI Bank,active,2025-04-30T22:16:49Z,False
A000012401,account,credit,-28912.15,Central Bank of India,active,2023-03-14T22:16:49Z,False
A000012501,account,savings,433306.43,Indian Bank,active,2025-06-10T22:16:49Z,False
A000012502,account,credit,-18820.53,Kotak Mahindra Bank,active,2025-01-14T22:16:49Z,False
A000012601,account,savings,61021.31,Union Bank of India,active,2022-12-29T22:16:49Z,True
A000012602,account,savings,123398.06,IDBI Bank,active,2025-06-15T22:16:49Z,False
A000012701,account,savings,149714.14,Punjab National Bank,active,2024-10-17T22:16:49Z,False
A000012801,account,savings,187279.31,Union Bank of India,active,2023-07-02T22:16:49Z,False
A000012901,account,savings,331476.24,Indian Bank,active,2024-09-25T22:16:49Z,False
A000012902,account,credit,-33577.14,Canara Bank,active,2023-11-18T22:16:49Z,False
A000013001,account,credit,-32108.95,ICICI Bank,active,2023-05-28T22:16:49Z,False
A000013002,account,checking,40439.88,Bank of Baroda,active,2025-01-13T22:16:49Z,False
A000013101,account,checking,32084.22,HDFC Bank,active,2023-04-19T22:16:49Z,False
A000013201,account,savings,489069.71,Federal Bank,active,2023-01-03T22:16:49Z,True
A000013202,account,savings,99241.53,Indian Bank,active,2024-10-26T22:16:49Z,True
A000013203,account,credit,-45163.7,Syndicate Bank,active,2024-06-24T22:16:49Z,False
A000013204,account,credit,-10138.95,Indian Bank,active,2023-05-03T22:16:49Z,False
A000013301,account,savings,487288.26,HDFC Bank,active,2024-08-19T22:16:49Z,False
A000013302,account,credit,-46748.59,Canara Bank,active,2025-07-08T22:16:49Z,False
A000013401,account,credit,-44936.1,State Bank of India,active,2024-06-02T22:16:49Z,False
A000013402,account,credit,-40375.93,Punjab National Bank,active,2025-08-28T22:16:49Z,False
A000013403,account,savings,296850.36,Axis Bank,active,2023-02-26T22:16:49Z,False
A000013501,account,savings,119456.29,HDFC Bank,active,2024-07-04T22:16:49Z,False
A000013502,account,savings,320636.84,Axis Bank,active,2023-06-28T22:16:49Z,True
A000013601,account,credit,-39343.07,Syndicate Bank,active,2023-08-19T22:16:49Z,False
A000013701,account,credit,-43137.82,Punjab National Bank,active,2024-09-28T22:16:49Z,False
A000013801,account,credit,-40544.89,Central Bank of India,active,2023-06-24T22:16:49Z,False
A000013802,account,savings,27576.23,Indian Overseas Bank,active,2023-03-31T22:16:49Z,False
A000013803,account,credit,-1580.78,Syndicate Bank,active,2025-02-07T22:16:49Z,False
A000013901,account,checking,28611.38,Yes Bank,active,2024-12-23T22:16:49Z,False
A000013902,account,savings,376059.75,Central Bank of India,active,2024-06-11T22:16:49Z,False
A000014001,account,savings,393150.77,Bank of Baroda,active,2025-06-01T22:16:49Z,False
A000014002,account,checking,2010.24,Axis Bank,active,2024-10-03T22:16:49Z,False
A000014101,account,savings,114236.22,Axis Bank,active,2024-05-12T22:16:49Z,False
A000014102,account,credit,-10701.27,IDBI Bank,active,2023-09-01T22:16:49Z,False
A000014103,account,checking,39616.55,Indian Bank,active,2023-04-27T22:16:49Z,False
A000014201,account,savings,488644.42,Indian Bank,active,2024-02-06T22:16:49Z,False
A000014202,account,credit,-4312.39,Kotak Mahindra Bank,active,2024-08-15T22:16:49Z,False
A000014203,account,checking,3279.09,Kotak Mahindra Bank,active,2025-03-01T22:16:49Z,False
A000014204,account,checking,28518.8,IDBI Bank,active,2023-11-25T22:16:49Z,False
A000014301,account,savings,227877.18,Yes Bank,active,2024-03-28T22:16:49Z,True
A000014302,account,checking,42999.4,Federal Bank,active,2024-08-05T22:16:49Z,False
A000014401,account,credit,-14161.4,IDBI Bank,active,2024-12-01T22:16:49Z,False
A000014402,account,savings,223420.06,Kotak Mahindra Bank,active,2023-12-30T22:16:49Z,False
A000014501,account,savings,137614.36,Central Bank of India,active,2023-10-28T22:16:49Z,False
A000014601,account,savings,164228.07,IDBI Bank,active,2024-05-01T22:16:49Z,False
A000014602,account,savings,274665.84,Bank of Baroda,active,2023-09-10T22:16:49Z,False
A000014603,account,savings,235923.08,Indian Overseas Bank,active,2023-05-02T22:16:49Z,False
A000014701,account,checking,17968.54,Axis Bank,active,2023-09-09T22:16:49Z,True
A000014801,account,savings,398665.16,Union Bank of India,active,2023-08-30T22:16:49Z,False
A000014802,account,checking,25673.76,Indian Bank,active,2024-10-14T22:16:49Z,False
A000014803,account,savings,312712.0,Kotak Mahindra Bank,active,2023-01-22T22:16:49Z,False
A000014804,account,savings,107676.21,Yes Bank,active,2024-10-13T22:16:49Z,False
A000014901,account,savings,300333.71,Kotak Mahindra Bank,active,2023-10-16T22:16:49Z,False
A000015001,account,savings,69640.19,Syndicate Bank,active,2024-11-10T22:16:49Z,False
A000015002,account,checking,10298.83,HDFC Bank,active,2025-01-09T22:16:49Z,False
A000015101,account,checking,3592.25,Axis Bank,active,2025-07-18T22:16:49Z,False
A000015201,account,savings,303319.77,Central Bank of India,active,2024-11-21T22:16:49Z,False
A000015301,account,checking,24623.54,Federal Bank,active,2023-01-21T22:16:49Z,False
A000015302,account,credit,-31342.76,Syndicate Bank,active,2024-10-29T22:16:49Z,False
A000015303,account,credit,-46438.28,HDFC Bank,active,2023-02-09T22:16:49Z,False
A000015401,account,checking,19943.58,ICICI Bank,active,2024-03-28T22:16:49Z,False
A000015402,account,checking,8374.6,Federal Bank,active,2024-12-25T22:16:49Z,False
A000015403,account,credit,-1615.83,Kotak Mahindra Bank,active,2024-01-18T22:16:49Z,False
