~id,~label,type:String,os:String,browser:String,fingerprint:String,first_seen:Date,last_login:Date,login_count:Int,fraud_flag:Boolean
DEV0459,device,desktop,Windows 11,Opera,7d43d3ab4b67bfcd6857dd6990881c02b29cb73e2d38f9c9cd29859b3ec8cbce,2024-07-20T15:22:44Z,2025-07-20T19:22:44Z,47,False
DEV0057,device,tablet,Android 12,Firefox,c29d76a2782702d51a3bec279b73785f2c271b85c7029ca695bc8cf96c5c772f,2025-04-28T15:22:44Z,2025-07-28T16:22:44Z,43,False
DEV0105,device,desktop,Windows 10,Edge,dcffcf7c990d9230d7bf658a866c06590f05c466c12876eda14dc5056ee581f0,2024-11-09T15:22:44Z,2025-07-29T18:22:44Z,118,False
DEV0061,device,desktop,Windows 10,Opera,5b80008b981df59498fdfbb0a660cc533ac4d72339a9f0384071f8958680390c,2025-06-12T15:22:44Z,2025-08-03T03:22:44Z,33,False
DEV0263,device,mobile,iOS 15,Chrome Mobile,6ce926c292d2e0733313e9e9e91b0b1c205692dfe40c773c9a94f52910f4878d,2024-09-16T15:22:44Z,2025-07-28T20:22:44Z,23,False
DEV0430,device,tablet,iPadOS 15,Firefox,2a7d46e599f73bb14a1ada8d8a081ea4ca2aa563c789dc08c90ee12d2732b261,2025-03-10T15:22:44Z,2025-07-26T23:22:44Z,111,False
DEV0548,device,desktop,Windows 11,Edge,7afa2adb00253959d9df87e75a32f4347ea13fa4629fd2c028ac4f3b24467d87,2024-12-23T15:22:44Z,2025-08-06T13:22:44Z,168,False
DEV0313,device,tablet,iPadOS 15,Firefox,856112ae990143855284ac963bf2c6a62bce2c09a377977a0f37ca2044506aa0,2025-03-20T15:22:44Z,2025-07-30T11:22:44Z,76,False
DEV0678,device,mobile,iOS 15,Firefox Mobile,d55e6b2b91ff5c17324a5a19101e7e2695b1a14156136c07c4192fda103f3ea2,2024-05-19T15:22:44Z,2025-08-15T23:22:44Z,57,False
DEV0723,device,mobile,Android 11,Safari Mobile,aaf13f50a2d72a062877ce1737a724e9834ebcdd48c661edc93e4c4e924f6180,2024-08-04T15:22:44Z,2025-07-25T18:22:44Z,194,False
DEV0403,device,mobile,Android 11,Chrome Mobile,36332455688701f7ae84f8587440366dfdcbd5802dc58c2d676884b99b3972b2,2025-02-23T15:22:44Z,2025-08-08T13:22:44Z,146,False
DEV0148,device,tablet,Android 11,Chrome,e353922244207492722f15ba172bd3fcc732095d41c6837f0cd900afd5867423,2025-01-26T15:22:44Z,2025-08-07T09:22:44Z,79,False
DEV0298,device,tablet,iPadOS 16,Chrome,7423744658273e5b7c91e95ee68427071846af7e6b1f8a0df77e111b8e05ca9f,2025-05-25T15:22:44Z,2025-08-07T14:22:44Z,132,False
DEV0569,device,tablet,iPadOS 15,Firefox,7b8c920e462c603d0ac6fe94e05e2a4a697372a120dc9e58dbe7e37e55c37d2d,2024-06-04T15:22:44Z,2025-08-13T04:22:44Z,45,False
DEV0337,device,mobile,Android 13,Chrome Mobile,53cf550022234610bc578cb2df5b51d56c4c2b8b704631a378cc2e7e8680c9ba,2025-03-16T15:22:44Z,2025-08-11T23:22:44Z,65,False
DEV0118,device,mobile,iOS 15,Safari Mobile,b58db892c3c10cc83c74ef08ad4c5f474923b9caf591b884898ec86657d4e2cd,2025-05-08T15:22:44Z,2025-07-19T14:22:44Z,41,False
DEV0086,device,mobile,Android 11,Chrome Mobile,528a0ba6937407022a0b6ab2b585d67c2d34910b599f40a76b083229b39904be,2025-01-16T15:22:44Z,2025-08-13T21:22:44Z,32,False
DEV0226,device,desktop,macOS Monterey,Safari,f04917fe37d515f9603bb6f9c046b8b24597ecd0a980ae97bf308e87c81acded,2025-05-16T15:22:44Z,2025-08-13T01:22:44Z,124,False
DEV0741,device,tablet,Android 11,Safari,8483d1d0ed9f1be84d7783e0dfc7028a72626c89e188470f872c94539abbcbc9,2025-06-25T15:22:44Z,2025-07-23T10:22:44Z,12,False
DEV0332,device,tablet,iPadOS 15,Safari,9f945d9f0b5f0d334f915932aef318a81eca9828a238189e1d62a5b9b2e95380,2024-09-07T15:22:44Z,2025-07-22T01:22:44Z,147,False
DEV0289,device,desktop,Windows 11,Firefox,8179bffa73b9ce0237baa7ee22f9e877ea8633dd854366dd26a09fccf8251be4,2025-01-21T15:22:44Z,2025-08-11T12:22:44Z,123,False
DEV0083,device,mobile,Android 13,Chrome Mobile,0acc9260a09fccbf9f4d61eae58ecfc7f92e9cb194d4cfeabe7b2198a3b2cc9d,2024-09-07T15:22:44Z,2025-07-19T21:22:44Z,133,False
DEV0114,device,mobile,iOS 15,Chrome Mobile,711968949e6e1630a0b7cf5bba8bd2d0e4c4a85ca7db3ea65073a5ade54ff433,2025-05-19T15:22:44Z,2025-07-31T16:22:44Z,19,False
DEV0276,device,tablet,Android 12,Chrome,45a4c873d7155973c0d059071523fc0e9060e0e3a463391f43d4187a826d251a,2025-05-13T15:22:44Z,2025-07-19T08:22:44Z,152,False
DEV0721,device,mobile,iOS 15,Firefox Mobile,f2a9b8b1e1f1948a924dac4a561efbd340c926d1308a4b7e407f85b0b09949c3,2024-05-07T15:22:44Z,2025-07-24T03:22:44Z,95,False
DEV0269,device,mobile,Android 11,Safari Mobile,a8e015540e6c8772b6aa33b8d062870737c13b6f4e30bb4b0849a837c07267af,2024-08-20T15:22:44Z,2025-07-22T10:22:44Z,50,False
DEV0296,device,tablet,iPadOS 15,Safari,429c7fe8a46363070689efe47b09825eef4e5be74a78a00ca85648caec72ab6b,2024-08-01T15:22:44Z,2025-08-07T16:22:44Z,183,False
DEV0149,device,mobile,Android 12,Chrome Mobile,e3198d6aa62a6f5cdfa33a496c69e0eb63025e5dfa19f687b567eca45e45c535,2024-05-18T15:22:44Z,2025-07-20T05:22:44Z,20,True
DEV0381,device,mobile,Android 11,Firefox Mobile,20c1486a13e46160a54ce7059ce860c7d2878949e0a1de6b68dce745876c7c69,2024-09-09T15:22:44Z,2025-07-30T17:22:44Z,41,False
DEV0200,device,tablet,iPadOS 15,Chrome,192bf09f5f555d2226bfc667d7f2bda1fbe782bce0306793ed929e12a801c068,2024-06-08T15:22:44Z,2025-07-21T23:22:44Z,98,False
DEV0003,device,tablet,iPadOS 16,Firefox,70141dc13ddd90b4eb55c7cfa77b49216775eeed4269500f48b3b170faf53ba4,2024-08-04T15:22:44Z,2025-08-05T21:22:44Z,13,False
DEV0637,device,mobile,Android 13,Samsung Internet,8e462fc1d928dc8726b224ab54c6862da582e2acdec582a9bf3b3ad9b239bb6f,2024-07-11T15:22:44Z,2025-08-07T20:22:44Z,61,False
DEV0015,device,desktop,Ubuntu 22.04,Safari,e5c30df880ce0b25cf30d16883950f192fb0c9d17a3545c8150132973a2f8482,2024-10-27T15:22:44Z,2025-08-12T08:22:44Z,182,False
DEV0303,device,mobile,Android 12,Safari Mobile,200acc2aaf9b0d1973ac2157f50a02df893296a392fa00b03f80cd706c83b83e,2025-07-09T15:22:44Z,2025-08-10T12:22:44Z,189,True
DEV0025,device,mobile,Android 12,Chrome Mobile,761d6a1bf9580e75cfa815a19e7e69f30b50e13883934096cf5d37d8adb13f98,2024-07-02T15:22:44Z,2025-08-08T07:22:44Z,31,False
DEV0220,device,mobile,iOS 16,Safari Mobile,01ed45d1e3cc257df381ce396cfc2c1d7026e99f765e18d1ea33831ca61d048f,2025-02-15T15:22:44Z,2025-07-26T22:22:44Z,189,False
DEV0464,device,mobile,iOS 15,Firefox Mobile,65c725e16a1b506413b44ea25855381a82c631ea7afb38bce31b7e36418d10b5,2024-09-06T15:22:44Z,2025-08-01T07:22:44Z,174,False
DEV0136,device,desktop,macOS Monterey,Firefox,83888943ff47fb29cde5f9aab7645d2c17fd3f8a9aee635d3dfc30c8644010d5,2024-10-07T15:22:44Z,2025-08-09T03:22:44Z,125,False
DEV0394,device,tablet,Android 11,Safari,61bf324db06c4f7465ffc1d46325cd667ab81c3b788d644b14ae31eab343c677,2025-06-07T15:22:44Z,2025-07-23T22:22:44Z,110,False
DEV0511,device,mobile,iOS 15,Samsung Internet,48b255137ccfe770552146e45d5ea440dc63acc1c87873c5e3a0e8dbbe2f25ff,2025-02-11T15:22:44Z,2025-07-24T09:22:44Z,37,True
DEV0202,device,desktop,Windows 10,Edge,2937df3927ae75623104ee316bff86f680cdf572d592d92e03c3995a81ee0d9b,2024-10-31T15:22:44Z,2025-08-15T18:22:44Z,116,False
DEV0195,device,tablet,iPadOS 15,Safari,2de6ace27995b7b9775ef32ca0a0e16307fc5c870d1a7dedee73b1b263a004f9,2024-06-10T15:22:44Z,2025-07-22T19:22:44Z,42,False
DEV0246,device,mobile,Android 12,Firefox Mobile,fc985236853d1390a487ef075680560fc469356f644e744046a3d3d1b51aac7d,2024-10-18T15:22:44Z,2025-08-10T05:22:44Z,191,False
DEV0120,device,mobile,Android 12,Chrome Mobile,3217c220930cc65dd00771a6f72fae43876c28e30c2eb04bffe488a86fc5a740,2024-09-15T15:22:44Z,2025-07-25T12:22:44Z,78,False
DEV0126,device,desktop,Windows 11,Chrome,92f48b8de83c143c9760bd09d9849e99672215dd2aa0ac5cc4220711120b8f98,2024-10-17T15:22:44Z,2025-07-21T04:22:44Z,110,False
DEV0640,device,tablet,iPadOS 16,Chrome,2c1dfb5bfb5ce4cf2976128659473ff02a36d5247b7b986d79d371e6348a73a4,2025-03-26T15:22:44Z,2025-07-29T00:22:44Z,151,False
DEV0356,device,mobile,Android 13,Chrome Mobile,fe44fa61c1e07eb51f6e5512aa50d749aa84bbe1f687006fc5191c469f743744,2025-06-12T15:22:44Z,2025-08-10T00:22:44Z,183,False
DEV0364,device,tablet,iPadOS 15,Chrome,b645a6458715772739079ba8818823e40a453ace3cb401e59934a8baa59b5bab,2024-09-23T15:22:44Z,2025-07-22T08:22:44Z,39,False
DEV0162,device,tablet,Android 12,Firefox,21d88b69e810ef2cb3d4a2f4ea2f41ca59d5f19c4c496419eb33481d234156b7,2025-05-01T15:22:44Z,2025-08-18T10:22:44Z,54,False
DEV0602,device,desktop,Windows 11,Opera,b48b5d6e5b4c8246076b89a2fc270924a14b4a2f2cdd8f9b3902abe4f3dd936b,2024-12-19T15:22:44Z,2025-08-12T14:22:44Z,68,True
DEV0652,device,desktop,macOS Ventura,Safari,804382f3e0e6a1c39ba423a7b58619d3c9dad396c73cfb01ef7c0657c4c35815,2024-10-24T15:22:44Z,2025-08-17T04:22:44Z,185,False
DEV0107,device,mobile,Android 13,Safari Mobile,52b60f1228856ea252528c4d9043788d2f2be5060b25a43acab7d67a8113c66e,2024-11-12T15:22:44Z,2025-08-17T10:22:44Z,151,False
DEV0338,device,desktop,Windows 11,Chrome,77ef6b964491d37ba50a43be1b937a9ffac90fc10c70f64fea3497b1701a7d29,2025-04-20T15:22:44Z,2025-08-12T08:22:44Z,170,False
DEV0034,device,mobile,Android 12,Safari Mobile,9cd52e58dcfc7bee1bfae889e674e81b2831cfbf025d4434d8f2f57ccf4d6784,2024-07-09T15:22:44Z,2025-08-12T07:22:44Z,171,False
DEV0449,device,desktop,Ubuntu 22.04,Firefox,489fdc4ef93d61bfcc3bc455c71d4419c4a7a1d6c16e8e93f5c437b473f5ba23,2025-03-01T15:22:44Z,2025-08-17T18:22:44Z,7,False
DEV0440,device,mobile,iOS 15,Chrome Mobile,c200140a1daa9fe18897f698e7980d4165bdcc0a5eabe2da78c1d0a1dd142ec0,2024-06-29T15:22:44Z,2025-07-29T20:22:44Z,77,False
DEV0650,device,desktop,macOS Ventura,Firefox,64119689787c7acf109afdcc0e657f01b167c8885e27f0567cb8b7d3d9779d37,2025-08-15T15:22:44Z,2025-08-15T00:22:44Z,21,False
DEV0746,device,mobile,Android 12,Firefox Mobile,9f6fd93ae3c5bc544d030fbd89121e9fca416d950253912d8ce73d4482daf573,2024-09-02T15:22:44Z,2025-08-09T19:22:44Z,88,False
DEV0230,device,tablet,iPadOS 15,Safari,7ccfc1a6178419e9dcd6b3c0d196fdf1ed1fefb818b29239176a52fc818803a4,2025-04-13T15:22:44Z,2025-07-27T22:22:44Z,168,False
DEV0406,device,desktop,Windows 11,Firefox,0326deb822bad7d20f7f8e6cf0a4e2b68c76c627f7c12904467a670b39ebc109,2025-01-28T15:22:44Z,2025-07-19T18:22:44Z,96,False
DEV0266,device,desktop,macOS Monterey,Chrome,a076f4a88f1694c9622b2f3e6f16087244d97d3751571b524fb1e55dd54a204f,2025-05-06T15:22:44Z,2025-07-22T10:22:44Z,173,False
DEV0065,device,desktop,macOS Monterey,Chrome,9abb08b2f45a28dfa45524bc45d5ec303da9d6326e62a50677e55e715175e6dc,2024-09-08T15:22:44Z,2025-07-21T19:22:44Z,154,False
DEV0378,device,mobile,iOS 15,Chrome Mobile,f2bb4e2f6ff99f37dea864d2107748179db24d78a7fdc41be3c30c1fd3cec2db,2025-07-03T15:22:44Z,2025-07-25T13:22:44Z,129,False
DEV0219,device,tablet,iPadOS 15,Safari,5121898d2ed1d01976752ad3106db9475b47c37e274dab5dd02fe42197152973,2024-06-18T15:22:44Z,2025-08-13T05:22:44Z,167,False
DEV0234,device,tablet,Android 11,Chrome,bc169e35217bcf42da346cef2aa03a29986c369068561a595d46ad7b181b1725,2024-10-31T15:22:44Z,2025-07-26T08:22:44Z,62,False
DEV0023,device,desktop,macOS Monterey,Safari,ebc9c628a8057b6c2fcf90708df5d8cb2d0d7b525ca54a010cdaf90527132269,2024-05-02T15:22:44Z,2025-08-07T06:22:44Z,38,False
DEV0007,device,mobile,Android 11,Samsung Internet,b23f41afa5f47b191d275cc24f063272e9a95f5b36225f9c2de2821b6b274b8c,2025-04-28T15:22:44Z,2025-08-01T21:22:44Z,83,False
DEV0732,device,tablet,iPadOS 16,Firefox,f0e354380eb11e6babe7a8a09091ea05a7519070ab35f3daa53efa83b1b30504,2025-08-01T15:22:44Z,2025-07-23T14:22:44Z,81,False
DEV0452,device,tablet,iPadOS 16,Chrome,197dae136e227931b4a9aa1a782263845da0c6abf04adb73014469e70191fe3d,2024-11-05T15:22:44Z,2025-07-30T14:22:44Z,157,False
DEV0315,device,tablet,Android 11,Chrome,6c2f18a3cfb25601a15b31778316886e15672e1bc32f1b970523a780a9190f48,2025-08-14T15:22:44Z,2025-07-28T12:22:44Z,172,False
DEV0630,device,tablet,Android 11,Safari,6ca585e917736dc9b94d673c2c308c323be7e8a07fc644db3217eb5617fea35f,2024-09-04T15:22:44Z,2025-08-16T17:22:44Z,34,False
DEV0607,device,tablet,iPadOS 16,Safari,daf4c7cf3a4c6fcacdca6eb69a0c12b262f8937b06ba9b4e054534ade179c264,2025-08-09T15:22:44Z,2025-08-15T12:22:44Z,132,False
DEV0729,device,desktop,macOS Monterey,Edge,d921ba24e2b05cc6f7d3a23efecb95c8dbcc4c3098063f484f2dda0fa5607690,2025-05-24T15:22:44Z,2025-08-12T07:22:44Z,138,False
DEV0146,device,mobile,iOS 15,Chrome Mobile,81bc89bac85072251ca77641bf0b6e9f61aad54f0fd9df772d44664a9dfc227f,2024-12-28T15:22:44Z,2025-08-06T17:22:44Z,109,False
DEV0347,device,desktop,Windows 10,Chrome,0125cfbf6c1d4be9a307033f5a83cce5319320dc84f3ecc16f627fbdff64a2ee,2024-04-20T15:22:44Z,2025-08-16T22:22:44Z,132,False
DEV0358,device,desktop,Windows 11,Firefox,f0eada1db4fb698ec2bd94dfebdbc427541f4cb91579bd512398c4c76fd2e72f,2025-04-05T15:22:44Z,2025-07-26T12:22:44Z,29,False
DEV0437,device,tablet,iPadOS 16,Chrome,4845f16f77a915b4c2a84442717748b99ee1674ec9420f56b0f1b6b92bfad5d7,2024-05-10T15:22:44Z,2025-07-21T14:22:44Z,7,False
DEV0384,device,desktop,Ubuntu 22.04,Safari,5addbbbbcce1431ff0b1bdb91ff4c15403030e315d39305c7ccd1900dcfc5d02,2025-02-19T15:22:44Z,2025-07-27T19:22:44Z,48,False
DEV0515,device,mobile,Android 13,Firefox Mobile,16b3185429f55d9a10897f8daa9a0e56e51a75984df57539f06b6158bf6277b2,2024-09-14T15:22:44Z,2025-07-21T01:22:44Z,164,False
DEV0439,device,desktop,Ubuntu 22.04,Firefox,2c9dec0f5a696fd198bf421a3b46bb20ee59f5878f095d856a0b0f78f441e738,2024-04-15T15:22:44Z,2025-07-21T18:22:44Z,191,False
DEV0731,device,tablet,Android 11,Safari,e47675d0ed21b03f028c2cf692c53a82545e0c4451079d6a1b647bbd9d89bae2,2024-05-06T15:22:44Z,2025-08-14T00:22:44Z,129,False
DEV0038,device,mobile,Android 13,Firefox Mobile,1fe2de3ac63cab6d1e6d3392b40fea0e1c8fd3ee1dcc23403d6941a8c72dfe25,2024-07-21T15:22:44Z,2025-08-05T01:22:44Z,16,False
DEV0529,device,tablet,iPadOS 15,Safari,801116a57f83a730f6002d7b053bc0333d46d70bb0b698cbbccbe23a4bf77ec8,2024-04-14T15:22:44Z,2025-08-06T18:22:44Z,178,False
DEV0308,device,desktop,Ubuntu 22.04,Firefox,fe7dfccc272251a824667c46d23e64054ed69c04140fe56f6ad7096119b7cbc5,2025-07-12T15:22:44Z,2025-08-13T22:22:44Z,161,False
DEV0583,device,mobile,Android 13,Samsung Internet,1a2c8d78e37e70239b7453edc119fb7254b1b76680acf65115e9fcf8bae0aff5,2025-06-11T15:22:44Z,2025-07-29T10:22:44Z,134,False
DEV0543,device,desktop,Ubuntu 22.04,Opera,5c5c2eee1a6c015bb2fecbde2615fd56edcf6ec560e7296e2311e6c335c47fe2,2025-02-11T15:22:44Z,2025-07-23T21:22:44Z,119,False
DEV0558,device,tablet,Android 12,Safari,2e20a428943f30820a35e11dd7685475c37ee67501522506e42b2a06f33d65ae,2024-09-15T15:22:44Z,2025-07-23T14:22:44Z,62,False
DEV0421,device,desktop,Ubuntu 22.04,Chrome,38ec33cb4393a429c32847682c8d1cba8ac0ec2f1ceb4f18d3c300c76f6d2837,2025-01-28T15:22:44Z,2025-08-07T22:22:44Z,163,False
DEV0448,device,mobile,Android 11,Samsung Internet,e5550dacca380d9195c755b5b84394450870558198342f591e90f4691b5769b9,2025-03-26T15:22:44Z,2025-07-26T18:22:44Z,98,False
DEV0245,device,mobile,iOS 16,Safari Mobile,6306f39fe48a60674ab0b8f3f737115381bb2809c2f1cb5b62180ebeed426b03,2025-07-13T15:22:44Z,2025-08-15T03:22:44Z,60,False
DEV0236,device,tablet,iPadOS 16,Safari,94bb856cffa0d9310575f9140e076ea5fb386fe9343c8c355f3412e82d3c3f25,2024-10-02T15:22:44Z,2025-07-24T09:22:44Z,188,False
DEV0222,device,tablet,Android 12,Chrome,3ef7ffcd0f61dfe0952cff46d4213565733ab109e96129b272a6c3cc7a355f4a,2025-07-26T15:22:44Z,2025-08-15T03:22:44Z,173,False
DEV0703,device,desktop,macOS Monterey,Firefox,498a1e647589a616b47ab38b1545ce4cdbe2eff92e620c132a724e99c83118fc,2024-07-28T15:22:44Z,2025-07-21T05:22:44Z,134,False
DEV0214,device,tablet,iPadOS 15,Chrome,2ff23e4845d76482884da47614284398e774d1fb1bd5eec87eeb5dd875f39805,2024-08-24T15:22:44Z,2025-08-04T20:22:44Z,182,False
DEV0163,device,mobile,iOS 15,Samsung Internet,43607879d0e7540c1e9f06a1ebd469b9d7d2d60b0f17af3b61fa519bdb1d02ee,2025-03-02T15:22:44Z,2025-08-10T03:22:44Z,92,False
DEV0668,device,mobile,Android 11,Samsung Internet,ad8fb83221d8a0b46e1213aefb843099f021ef8c5a0d98621c565cb47e1c80bb,2025-07-03T15:22:44Z,2025-07-27T12:22:44Z,199,False
DEV0405,device,tablet,Android 11,Firefox,1f43b38f5ca472e4392a12280fafb04be829734fb7af1a2ad68872f0967bb22e,2024-09-11T15:22:44Z,2025-08-02T21:22:44Z,151,False
DEV0372,device,tablet,iPadOS 16,Firefox,6c2fdf26828f9299bc916822ed234d3e2e41183bd75c9c30201297af3534dc63,2024-09-19T15:22:44Z,2025-08-11T22:22:44Z,13,False
DEV0395,device,tablet,iPadOS 16,Safari,2930b1accb88c630627aa76361e6d50c0e4682901e9fae5467962c4caf366407,2024-08-01T15:22:44Z,2025-08-17T16:22:44Z,69,False
DEV0682,device,desktop,Ubuntu 22.04,Firefox,6cb1dfc400f37b2e25c7b05ebec9da70c2584c11c26463ca639ca8a0dfff1a45,2024-08-11T15:22:44Z,2025-07-22T01:22:44Z,62,False
DEV0070,device,mobile,Android 13,Samsung Internet,9c4c7990ecc923e91231ec3812ae4619088a77bf5980c2bfb2e13dd9ff8dd885,2024-07-01T15:22:44Z,2025-07-26T17:22:44Z,170,False
DEV0335,device,tablet,iPadOS 16,Firefox,dba165677369ded768750205323d625d713fe6aa7c382ec73ecc39521ae33632,2024-06-23T15:22:44Z,2025-08-12T21:22:44Z,70,True
DEV0167,device,desktop,Windows 11,Safari,9da1e47888c6e67bb2c6a72957ebd53a2ba9ff55f5c658451f6dac613abc6b68,2025-03-19T15:22:44Z,2025-08-03T17:22:44Z,44,True
DEV0445,device,desktop,macOS Monterey,Edge,c15d78c6a0442295fc516a01733ebaa3dda32e27a6ec911f112729a88e3c3bf0,2024-07-18T15:22:44Z,2025-07-21T09:22:44Z,174,False
DEV0283,device,desktop,Windows 10,Firefox,b23e3a0e19a755ff2125775ed37d6b2d03cf2d5ee1068406e324283618e378cc,2024-10-30T15:22:44Z,2025-08-07T06:22:44Z,60,False
DEV0411,device,mobile,iOS 15,Safari Mobile,311601e07cbf518c5c5e6b19745777979ff2c63141cbcc4876dcfe99378f7353,2024-12-05T15:22:44Z,2025-08-06T07:22:44Z,143,False
DEV0487,device,mobile,Android 12,Samsung Internet,6691ab3f92bf51a729b197d804f1495b77aee85dc792f54523e039de771b69a6,2024-09-25T15:22:44Z,2025-08-17T23:22:44Z,100,False
DEV0144,device,mobile,Android 12,Firefox Mobile,89cde0c1fb39e2b84a8475a9ca3183657222380d982224dfd26d0c2b1040bd99,2025-04-25T15:22:44Z,2025-08-02T01:22:44Z,129,True
DEV0554,device,tablet,iPadOS 15,Safari,2f61b5c7960daf3c5653cc838d50b5b753f2ba22b0653c337d06d10296487739,2025-04-12T15:22:44Z,2025-08-18T01:22:44Z,188,False
DEV0093,device,desktop,Windows 11,Firefox,f96a566ab2ac3cf2d7289712a20160d33e0adc7627ab5735034d7c2ec7c5af22,2025-02-10T15:22:44Z,2025-08-16T13:22:44Z,18,False
DEV0196,device,desktop,macOS Monterey,Chrome,35776f1afaa2a1210fa640f0991e9bf9dcd31e78f6aa992d6b5126b7053537d6,2025-01-09T15:22:44Z,2025-08-09T22:22:44Z,23,False
