~from,~to,~label,since:Date
U0000027,A000002701,OWNS,2023-12-21T22:16:49Z
U0000027,A000002702,OWNS,2024-08-25T22:16:49Z
U0000027,A000002703,OWNS,2024-04-25T22:16:49Z
U0000027,A000002704,OWNS,2023-08-03T22:16:49Z
U0000028,A000002801,OWNS,2024-01-24T22:16:49Z
U0000028,A000002802,OWNS,2025-03-02T22:16:49Z
U0000029,A000002901,OWNS,2024-05-13T22:16:49Z
U0000029,A000002902,OWNS,2023-03-10T22:16:49Z
U0000030,A000003001,OWNS,2023-07-03T22:16:49Z
U0000030,A000003002,OWNS,2023-07-09T22:16:49Z
U0000030,A000003003,OWNS,2024-05-23T22:16:49Z
U0000030,A000003004,OWNS,2024-07-05T22:16:49Z
U0000031,A000003101,OWNS,2025-06-04T22:16:49Z
U0000031,A000003102,OWNS,2023-07-13T22:16:49Z
U0000031,A000003103,OWNS,2025-06-15T22:16:49Z
U0000032,A000003201,OWNS,2024-07-14T22:16:49Z
U0000032,A000003202,OWNS,2024-09-22T22:16:49Z
U0000033,A000003301,OWNS,2024-07-14T22:16:49Z
U0000033,A000003302,OWNS,2025-05-19T22:16:49Z
U0000033,A000003303,OWNS,2025-03-01T22:16:49Z
U0000034,A000003401,OWNS,2025-06-28T22:16:49Z
U0000034,A000003402,OWNS,2023-05-27T22:16:49Z
U0000035,A000003501,OWNS,2025-03-31T22:16:49Z
U0000035,A000003502,OWNS,2024-12-24T22:16:49Z
U0000036,A000003601,OWNS,2023-01-30T22:16:49Z
U0000037,A000003701,OWNS,2024-10-13T22:16:49Z
U0000037,A000003702,OWNS,2025-07-01T22:16:49Z
U0000038,A000003801,OWNS,2024-07-17T22:16:49Z
U0000038,A000003802,OWNS,2025-07-27T22:16:49Z
U0000038,A000003803,OWNS,2025-02-15T22:16:49Z
U0000039,A000003901,OWNS,2023-05-22T22:16:49Z
U0000039,A000003902,OWNS,2024-03-17T22:16:49Z
U0000040,A000004001,OWNS,2023-08-07T22:16:49Z
U0000040,A000004002,OWNS,2023-09-21T22:16:49Z
U0000041,A000004101,OWNS,2025-08-18T22:16:49Z
U0000042,A000004201,OWNS,2024-09-18T22:16:49Z
U0000042,A000004202,OWNS,2023-04-03T22:16:49Z
U0000043,A000004301,OWNS,2024-02-26T22:16:49Z
U0000044,A000004401,OWNS,2024-10-13T22:16:49Z
U0000045,A000004501,OWNS,2024-11-01T22:16:49Z
U0000045,A000004502,OWNS,2025-02-13T22:16:49Z
U0000045,A000004503,OWNS,2023-09-29T22:16:49Z
U0000046,A000004601,OWNS,2023-04-08T22:16:49Z
U0000046,A000004602,OWNS,2025-01-16T22:16:49Z
U0000047,A000004701,OWNS,2023-03-13T22:16:49Z
U0000048,A000004801,OWNS,2023-08-27T22:16:49Z
U0000048,A000004802,OWNS,2022-12-30T22:16:49Z
U0000048,A000004803,OWNS,2025-04-07T22:16:49Z
U0000048,A000004804,OWNS,2023-07-22T22:16:49Z
U0000049,A000004901,OWNS,2023-04-06T22:16:49Z
U0000049,A000004902,OWNS,2023-03-16T22:16:49Z
U0000049,A000004903,OWNS,2023-09-03T22:16:49Z
U0000050,A000005001,OWNS,2025-03-09T22:16:49Z
U0000050,A000005002,OWNS,2024-07-13T22:16:49Z
U0000051,A000005101,OWNS,2023-08-27T22:16:49Z
U0000051,A000005102,OWNS,2024-08-18T22:16:49Z
U0000052,A000005201,OWNS,2022-12-31T22:16:49Z
U0000053,A000005301,OWNS,2024-10-05T22:16:49Z
U0000054,A000005401,OWNS,2024-08-28T22:16:49Z
U0000054,A000005402,OWNS,2024-11-14T22:16:49Z
U0000054,A000005403,OWNS,2024-10-07T22:16:49Z
U0000054,A000005404,OWNS,2023-12-23T22:16:49Z
U0000055,A000005501,OWNS,2024-07-13T22:16:49Z
U0000055,A000005502,OWNS,2025-08-29T22:16:49Z
U0000055,A000005503,OWNS,2024-10-29T22:16:49Z
U0000056,A000005601,OWNS,2025-02-08T22:16:49Z
U0000057,A000005701,OWNS,2025-01-31T22:16:49Z
U0000058,A000005801,OWNS,2025-09-05T22:16:49Z
U0000059,A000005901,OWNS,2023-07-11T22:16:49Z
U0000060,A000006001,OWNS,2024-10-26T22:16:49Z
U0000060,A000006002,OWNS,2025-04-29T22:16:49Z
U0000060,A000006003,OWNS,2025-07-16T22:16:49Z
U0000061,A000006101,OWNS,2025-04-15T22:16:49Z
U0000061,A000006102,OWNS,2024-08-04T22:16:49Z
U0000061,A000006103,OWNS,2024-06-02T22:16:49Z
U0000062,A000006201,OWNS,2024-03-13T22:16:49Z
U0000062,A000006202,OWNS,2024-02-26T22:16:49Z
U0000063,A000006301,OWNS,2025-06-30T22:16:49Z
U0000063,A000006302,OWNS,2024-10-09T22:16:49Z
U0000064,A000006401,OWNS,2025-02-21T22:16:49Z
U0000064,A000006402,OWNS,2023-02-12T22:16:49Z
U0000065,A000006501,OWNS,2024-07-21T22:16:49Z
U0000065,A000006502,OWNS,2024-05-11T22:16:49Z
U0000066,A000006601,OWNS,2024-01-27T22:16:49Z
U0000066,A000006602,OWNS,2024-07-16T22:16:49Z
U0000067,A000006701,OWNS,2024-05-17T22:16:49Z
U0000067,A000006702,OWNS,2024-07-05T22:16:49Z
U0000068,A000006801,OWNS,2024-01-09T22:16:49Z
U0000068,A000006802,OWNS,2023-07-14T22:16:49Z
U0000068,A000006803,OWNS,2025-02-06T22:16:49Z
U0000069,A000006901,OWNS,2023-08-20T22:16:49Z
U0000070,A000007001,OWNS,2024-08-21T22:16:49Z
U0000070,A000007002,OWNS,2023-03-07T22:16:49Z
U0000070,A000007003,OWNS,2023-11-03T22:16:49Z
U0000070,A000007004,OWNS,2023-07-15T22:16:49Z
U0000071,A000007101,OWNS,2023-10-30T22:16:49Z
U0000072,A000007201,OWNS,2024-08-31T22:16:49Z
U0000072,A000007202,OWNS,2023-07-24T22:16:49Z
U0000073,A000007301,OWNS,2024-09-29T22:16:49Z
U0000073,A000007302,OWNS,2023-06-06T22:16:49Z
U0000073,A000007303,OWNS,2023-08-13T22:16:49Z
U0000073,A000007304,OWNS,2024-04-27T22:16:49Z
U0000074,A000007401,OWNS,2024-10-12T22:16:49Z
U0000075,A000007501,OWNS,2023-09-17T22:16:49Z
U0000076,A000007601,OWNS,2024-04-18T22:16:49Z
U0000076,A000007602,OWNS,2023-11-19T22:16:49Z
U0000076,A000007603,OWNS,2023-12-18T22:16:49Z
U0000077,A000007701,OWNS,2025-07-16T22:16:49Z
U0000077,A000007702,OWNS,2025-03-11T22:16:49Z
U0000078,A000007801,OWNS,2024-07-15T22:16:49Z
U0000078,A000007802,OWNS,2024-01-13T22:16:49Z
U0000079,A000007901,OWNS,2024-07-01T22:16:49Z
U0000079,A000007902,OWNS,2024-06-03T22:16:49Z
U0000079,A000007903,OWNS,2023-10-01T22:16:49Z
U0000079,A000007904,OWNS,2025-01-08T22:16:49Z
U0000080,A000008001,OWNS,2024-08-11T22:16:49Z
U0000080,A000008002,OWNS,2024-06-30T22:16:49Z
U0000081,A000008101,OWNS,2023-07-31T22:16:49Z
U0000081,A000008102,OWNS,2024-04-12T22:16:49Z
U0000082,A000008201,OWNS,2023-01-02T22:16:49Z
U0000083,A000008301,OWNS,2025-07-07T22:16:49Z
U0000083,A000008302,OWNS,2024-07-15T22:16:49Z
U0000084,A000008401,OWNS,2025-07-29T22:16:49Z
U0000084,A000008402,OWNS,2024-08-27T22:16:49Z
U0000084,A000008403,OWNS,2024-09-22T22:16:49Z
U0000084,A000008404,OWNS,2024-03-12T22:16:49Z
U0000085,A000008501,OWNS,2023-07-02T22:16:49Z
U0000086,A000008601,OWNS,2025-02-01T22:16:49Z
U0000086,A000008602,OWNS,2023-06-10T22:16:49Z
U0000087,A000008701,OWNS,2025-02-17T22:16:49Z
U0000087,A000008702,OWNS,2025-07-28T22:16:49Z
U0000088,A000008801,OWNS,2024-04-23T22:16:49Z
U0000088,A000008802,OWNS,2024-01-23T22:16:49Z
U0000089,A000008901,OWNS,2024-04-01T22:16:49Z
U0000090,A000009001,OWNS,2024-07-09T22:16:49Z
U0000090,A000009002,OWNS,2023-02-07T22:16:49Z
U0000090,A000009003,OWNS,2025-04-20T22:16:49Z
U0000091,A000009101,OWNS,2025-03-04T22:16:49Z
U0000091,A000009102,OWNS,2023-01-12T22:16:49Z
U0000091,A000009103,OWNS,2024-04-10T22:16:49Z
U0000092,A000009201,OWNS,2023-10-21T22:16:49Z
U0000092,A000009202,OWNS,2024-07-02T22:16:49Z
U0000093,A000009301,OWNS,2024-11-16T22:16:49Z
U0000093,A000009302,OWNS,2023-03-08T22:16:49Z
U0000093,A000009303,OWNS,2025-03-10T22:16:49Z
U0000093,A000009304,OWNS,2024-07-31T22:16:49Z
U0000094,A000009401,OWNS,2024-05-01T22:16:49Z
U0000094,A000009402,OWNS,2025-05-07T22:16:49Z
U0000094,A000009403,OWNS,2025-08-10T22:16:49Z
U0000094,A000009404,OWNS,2023-10-16T22:16:49Z
U0000095,A000009501,OWNS,2023-04-20T22:16:49Z
U0000095,A000009502,OWNS,2024-02-17T22:16:49Z
U0000095,A000009503,OWNS,2024-04-24T22:16:49Z
U0000095,A000009504,OWNS,2023-07-20T22:16:49Z
U0000096,A000009601,OWNS,2024-12-30T22:16:49Z
U0000096,A000009602,OWNS,2023-04-04T22:16:49Z
U0000096,A000009603,OWNS,2025-08-02T22:16:49Z
U0000096,A000009604,OWNS,2024-12-10T22:16:49Z
U0000097,A000009701,OWNS,2023-05-03T22:16:49Z
U0000098,A000009801,OWNS,2024-06-23T22:16:49Z
U0000098,A000009802,OWNS,2024-12-26T22:16:49Z
U0000099,A000009901,OWNS,2023-04-29T22:16:49Z
U0000100,A000010001,OWNS,2025-04-23T22:16:49Z
U0000100,A000010002,OWNS,2023-11-20T22:16:49Z
U0000101,A000010101,OWNS,2023-04-10T22:16:49Z
U0000102,A000010201,OWNS,2023-02-28T22:16:49Z
U0000103,A000010301,OWNS,2024-12-03T22:16:49Z
U0000103,A000010302,OWNS,2023-02-04T22:16:49Z
U0000104,A000010401,OWNS,2024-06-04T22:16:49Z
U0000104,A000010402,OWNS,2023-10-07T22:16:49Z
U0000104,A000010403,OWNS,2025-06-15T22:16:49Z
U0000105,A000010501,OWNS,2023-07-11T22:16:49Z
U0000105,A000010502,OWNS,2025-05-11T22:16:49Z
U0000105,A000010503,OWNS,2024-11-19T22:16:49Z
U0000105,A000010504,OWNS,2024-01-04T22:16:49Z
U0000106,A000010601,OWNS,2025-09-04T22:16:49Z
U0000106,A000010602,OWNS,2023-10-23T22:16:49Z
U0000106,A000010603,OWNS,2024-12-17T22:16:49Z
U0000106,A000010604,OWNS,2025-04-27T22:16:49Z
U0000107,A000010701,OWNS,2023-09-18T22:16:49Z
U0000108,A000010801,OWNS,2024-02-11T22:16:49Z
U0000109,A000010901,OWNS,2023-11-08T22:16:49Z
U0000109,A000010902,OWNS,2025-02-05T22:16:49Z
U0000110,A000011001,OWNS,2025-06-09T22:16:49Z
U0000110,A000011002,OWNS,2023-12-04T22:16:49Z
U0000111,A000011101,OWNS,2023-10-10T22:16:49Z
U0000112,A000011201,OWNS,2024-09-25T22:16:49Z
U0000112,A000011202,OWNS,2023-08-07T22:16:49Z
U0000112,A000011203,OWNS,2024-06-22T22:16:49Z
U0000113,A000011301,OWNS,2023-06-09T22:16:49Z
U0000113,A000011302,OWNS,2025-05-18T22:16:49Z
U0000114,A000011401,OWNS,2024-07-11T22:16:49Z
U0000115,A000011501,OWNS,2025-01-15T22:16:49Z
U0000116,A000011601,OWNS,2024-02-17T22:16:49Z
U0000116,A000011602,OWNS,2024-09-09T22:16:49Z
U0000116,A000011603,OWNS,2023-06-06T22:16:49Z
U0000117,A000011701,OWNS,2023-05-20T22:16:49Z
U0000117,A000011702,OWNS,2023-04-02T22:16:49Z
U0000117,A000011703,OWNS,2023-09-15T22:16:49Z
U0000118,A000011801,OWNS,2024-07-13T22:16:49Z
U0000118,A000011802,OWNS,2023-01-17T22:16:49Z
U0000119,A000011901,OWNS,2024-07-07T22:16:49Z
U0000120,A000012001,OWNS,2024-03-26T22:16:49Z
U0000120,A000012002,OWNS,2024-03-25T22:16:49Z
U0000121,A000012101,OWNS,2023-09-09T22:16:49Z
U0000122,A000012201,OWNS,2024-05-10T22:16:49Z
U0000123,A000012301,OWNS,2025-04-30T22:16:49Z
U0000124,A000012401,OWNS,2023-03-14T22:16:49Z
U0000125,A000012501,OWNS,2025-06-10T22:16:49Z
U0000125,A000012502,OWNS,2025-01-14T22:16:49Z
U0000126,A000012601,OWNS,2022-12-29T22:16:49Z
U0000126,A000012602,OWNS,2025-06-15T22:16:49Z
U0000127,A000012701,OWNS,2024-10-17T22:16:49Z
U0000128,A000012801,OWNS,2023-07-02T22:16:49Z
U0000129,A000012901,OWNS,2024-09-25T22:16:49Z
U0000129,A000012902,OWNS,2023-11-18T22:16:49Z
U0000130,A000013001,OWNS,2023-05-28T22:16:49Z
U0000130,A000013002,OWNS,2025-01-13T22:16:49Z
U0000131,A000013101,OWNS,2023-04-19T22:16:49Z
U0000132,A000013201,OWNS,2023-01-03T22:16:49Z
U0000132,A000013202,OWNS,2024-10-26T22:16:49Z
U0000132,A000013203,OWNS,2024-06-24T22:16:49Z
U0000132,A000013204,OWNS,2023-05-03T22:16:49Z
U0000133,A000013301,OWNS,2024-08-19T22:16:49Z
U0000133,A000013302,OWNS,2025-07-08T22:16:49Z
U0000134,A000013401,OWNS,2024-06-02T22:16:49Z
U0000134,A000013402,OWNS,2025-08-28T22:16:49Z
U0000134,A000013403,OWNS,2023-02-26T22:16:49Z
U0000135,A000013501,OWNS,2024-07-04T22:16:49Z
U0000135,A000013502,OWNS,2023-06-28T22:16:49Z
U0000136,A000013601,OWNS,2023-08-19T22:16:49Z
U0000137,A000013701,OWNS,2024-09-28T22:16:49Z
U0000138,A000013801,OWNS,2023-06-24T22:16:49Z
U0000138,A000013802,OWNS,2023-03-31T22:16:49Z
U0000138,A000013803,OWNS,2025-02-07T22:16:49Z
U0000139,A000013901,OWNS,2024-12-23T22:16:49Z
U0000139,A000013902,OWNS,2024-06-11T22:16:49Z
U0000140,A000014001,OWNS,2025-06-01T22:16:49Z
U0000140,A000014002,OWNS,2024-10-03T22:16:49Z
U0000141,A000014101,OWNS,2024-05-12T22:16:49Z
U0000141,A000014102,OWNS,2023-09-01T22:16:49Z
U0000141,A000014103,OWNS,2023-04-27T22:16:49Z
U0000142,A000014201,OWNS,2024-02-06T22:16:49Z
U0000142,A000014202,OWNS,2024-08-15T22:16:49Z
U0000142,A000014203,OWNS,2025-03-01T22:16:49Z
U0000142,A000014204,OWNS,2023-11-25T22:16:49Z
U0000143,A000014301,OWNS,2024-03-28T22:16:49Z
U0000143,A000014302,OWNS,2024-08-05T22:16:49Z
U0000144,A000014401,OWNS,2024-12-01T22:16:49Z
U0000144,A000014402,OWNS,2023-12-30T22:16:49Z
U0000145,A000014501,OWNS,2023-10-28T22:16:49Z
U0000146,A000014601,OWNS,2024-05-01T22:16:49Z
U0000146,A000014602,OWNS,2023-09-10T22:16:49Z
U0000146,A000014603,OWNS,2023-05-02T22:16:49Z
U0000147,A000014701,OWNS,2023-09-09T22:16:49Z
U0000148,A000014801,OWNS,2023-08-30T22:16:49Z
U0000148,A000014802,OWNS,2024-10-14T22:16:49Z
U0000148,A000014803,OWNS,2023-01-22T22:16:49Z
U0000148,A000014804,OWNS,2024-10-13T22:16:49Z
U0000149,A000014901,OWNS,2023-10-16T22:16:49Z
U0000150,A000015001,OWNS,2024-11-10T22:16:49Z
U0000150,A000015002,OWNS,2025-01-09T22:16:49Z
U0000151,A000015101,OWNS,2025-07-18T22:16:49Z
U0000152,A000015201,OWNS,2024-11-21T22:16:49Z
U0000153,A000015301,OWNS,2023-01-21T22:16:49Z
U0000153,A000015302,OWNS,2024-10-29T22:16:49Z
U0000153,A000015303,OWNS,2023-02-09T22:16:49Z
U0000154,A000015401,OWNS,2024-03-28T22:16:49Z
U0000154,A000015402,OWNS,2024-12-25T22:16:49Z
U0000154,A000015403,OWNS,2024-01-18T22:16:49Z
U0000155,A000015501,OWNS,2023-09-20T22:16:49Z
U0000155,A000015502,OWNS,2024-06-05T22:16:49Z
U0000155,A000015503,OWNS,2023-08-04T22:16:49Z
U0000156,A000015601,OWNS,2023-01-29T22:16:49Z
U0000156,A000015602,OWNS,2024-08-26T22:16:49Z
U0000157,A000015701,OWNS,2024-03-31T22:16:49Z
U0000157,A000015702,OWNS,2025-08-23T22:16:49Z
U0000157,A000015703,OWNS,2023-10-16T22:16:49Z
U0000158,A000015801,OWNS,2025-05-24T22:16:49Z
U0000159,A000015901,OWNS,2024-12-18T22:16:49Z
U0000159,A000015902,OWNS,2023-08-13T22:16:49Z
U0000159,A000015903,OWNS,2024-02-01T22:16:49Z
U0000159,A000015904,OWNS,2024-10-26T22:16:49Z
U0000160,A000016001,OWNS,2023-12-03T22:16:49Z
U0000160,A000016002,OWNS,2025-07-11T22:16:49Z
U0000160,A000016003,OWNS,2023-04-25T22:16:49Z
U0000160,A000016004,OWNS,2023-02-07T22:16:49Z
U0000161,A000016101,OWNS,2023-04-23T22:16:49Z
U0000162,A000016201,OWNS,2024-09-10T22:16:49Z
U0000162,A000016202,OWNS,2024-03-31T22:16:49Z
U0000163,A000016301,OWNS,2025-08-17T22:16:49Z
U0000163,A000016302,OWNS,2023-06-19T22:16:49Z
U0000164,A000016401,OWNS,2022-12-26T22:16:49Z
U0000164,A000016402,OWNS,2025-09-04T22:16:49Z
U0000164,A000016403,OWNS,2024-01-30T22:16:49Z
U0000165,A000016501,OWNS,2023-12-29T22:16:49Z
U0000165,A000016502,OWNS,2025-01-10T22:16:49Z
U0000166,A000016601,OWNS,2023-01-21T22:16:49Z
U0000166,A000016602,OWNS,2023-12-01T22:16:49Z
U0000167,A000016701,OWNS,2023-04-04T22:16:49Z
U0000167,A000016702,OWNS,2022-12-22T22:16:49Z
U0000168,A000016801,OWNS,2024-09-12T22:16:49Z
U0000168,A000016802,OWNS,2024-03-25T22:16:49Z
U0000169,A000016901,OWNS,2023-09-21T22:16:49Z
U0000169,A000016902,OWNS,2023-12-28T22:16:49Z
U0000169,A000016903,OWNS,2025-03-14T22:16:49Z
U0000169,A000016904,OWNS,2024-07-04T22:16:49Z
U0000170,A000017001,OWNS,2024-11-08T22:16:49Z
U0000171,A000017101,OWNS,2024-08-01T22:16:49Z
U0000172,A000017201,OWNS,2025-05-11T22:16:49Z
U0000173,A000017301,OWNS,2024-12-28T22:16:49Z
U0000174,A000017401,OWNS,2025-02-25T22:16:49Z
U0000175,A000017501,OWNS,2024-10-17T22:16:49Z
U0000176,A000017601,OWNS,2025-01-09T22:16:49Z
U0000176,A000017602,OWNS,2023-03-16T22:16:49Z
U0000177,A000017701,OWNS,2025-03-23T22:16:49Z
U0000177,A000017702,OWNS,2025-07-25T22:16:49Z
U0000177,A000017703,OWNS,2023-08-13T22:16:49Z
U0000177,A000017704,OWNS,2025-03-24T22:16:49Z
U0000178,A000017801,OWNS,2023-02-03T22:16:49Z
U0000179,A000017901,OWNS,2025-01-27T22:16:49Z
U0000179,A000017902,OWNS,2025-04-03T22:16:49Z
U0000180,A000018001,OWNS,2023-08-27T22:16:49Z
U0000180,A000018002,OWNS,2024-08-12T22:16:49Z
U0000180,A000018003,OWNS,2025-04-27T22:16:49Z
U0000180,A000018004,OWNS,2023-06-21T22:16:49Z
U0000181,A000018101,OWNS,2025-05-11T22:16:49Z
U0000182,A000018201,OWNS,2025-05-02T22:16:49Z
U0000182,A000018202,OWNS,2024-07-02T22:16:49Z
U0000182,A000018203,OWNS,2025-04-21T22:16:49Z
U0000182,A000018204,OWNS,2024-07-08T22:16:49Z
U0000183,A000018301,OWNS,2025-01-04T22:16:49Z
U0000184,A000018401,OWNS,2025-04-09T22:16:49Z
U0000185,A000018501,OWNS,2023-02-11T22:16:49Z
U0000185,A000018502,OWNS,2023-01-30T22:16:49Z
U0000186,A000018601,OWNS,2025-07-25T22:16:49Z
U0000186,A000018602,OWNS,2024-09-09T22:16:49Z
U0000187,A000018701,OWNS,2025-07-31T22:16:49Z
U0000187,A000018702,OWNS,2023-12-24T22:16:49Z
U0000188,A000018801,OWNS,2025-06-10T22:16:49Z
U0000189,A000018901,OWNS,2023-09-24T22:16:49Z
U0000190,A000019001,OWNS,2023-08-22T22:16:49Z
U0000190,A000019002,OWNS,2024-07-25T22:16:49Z
U0000191,A000019101,OWNS,2023-04-05T22:16:49Z
U0000191,A000019102,OWNS,2023-11-29T22:16:49Z
U0000191,A000019103,OWNS,2025-06-18T22:16:49Z
U0000192,A000019201,OWNS,2025-08-26T22:16:49Z
U0000192,A000019202,OWNS,2023-04-08T22:16:49Z
U0000193,A000019301,OWNS,2024-07-13T22:16:49Z
U0000193,A000019302,OWNS,2024-03-23T22:16:49Z
U0000194,A000019401,OWNS,2023-12-01T22:16:49Z
U0000194,A000019402,OWNS,2023-04-21T22:16:49Z
U0000195,A000019501,OWNS,2023-03-03T22:16:49Z
U0000195,A000019502,OWNS,2023-06-23T22:16:49Z
U0000196,A000019601,OWNS,2023-12-06T22:16:49Z
U0000197,A000019701,OWNS,2025-05-19T22:16:49Z
U0000198,A000019801,OWNS,2022-12-15T22:16:49Z
U0000198,A000019802,OWNS,2025-03-31T22:16:49Z
U0000199,A000019901,OWNS,2023-08-08T22:16:49Z
U0000199,A000019902,OWNS,2023-02-08T22:16:49Z
U0000200,A000020001,OWNS,2024-06-06T22:16:49Z
U0000200,A000020002,OWNS,2024-01-18T22:16:49Z
U0000201,A000020101,OWNS,2024-02-13T22:16:49Z
U0000202,A000020201,OWNS,2025-08-03T22:16:49Z
U0000202,A000020202,OWNS,2025-06-30T22:16:49Z
U0000202,A000020203,OWNS,2024-10-20T22:16:49Z
U0000202,A000020204,OWNS,2024-04-22T22:16:49Z
U0000203,A000020301,OWNS,2024-12-18T22:16:49Z
U0000203,A000020302,OWNS,2025-06-25T22:16:49Z
U0000203,A000020303,OWNS,2024-12-07T22:16:49Z
U0000204,A000020401,OWNS,2024-10-15T22:16:49Z
U0000205,A000020501,OWNS,2023-07-24T22:16:49Z
U0000206,A000020601,OWNS,2024-09-14T22:16:49Z
U0000207,A000020701,OWNS,2024-08-04T22:16:49Z
U0000208,A000020801,OWNS,2025-04-17T22:16:49Z
U0000208,A000020802,OWNS,2025-08-19T22:16:49Z
U0000209,A000020901,OWNS,2023-08-19T22:16:49Z
U0000210,A000021001,OWNS,2025-02-23T22:16:49Z
U0000210,A000021002,OWNS,2023-03-26T22:16:49Z
U0000210,A000021003,OWNS,2023-01-02T22:16:49Z
U0000210,A000021004,OWNS,2023-03-15T22:16:49Z
U0000211,A000021101,OWNS,2024-11-24T22:16:49Z
U0000211,A000021102,OWNS,2025-09-04T22:16:49Z
U0000211,A000021103,OWNS,2024-12-26T22:16:49Z
U0000212,A000021201,OWNS,2024-02-29T22:16:49Z
U0000212,A000021202,OWNS,2023-09-30T22:16:49Z
U0000213,A000021301,OWNS,2023-05-14T22:16:49Z
U0000213,A000021302,OWNS,2023-05-22T22:16:49Z
U0000214,A000021401,OWNS,2025-07-03T22:16:49Z
U0000214,A000021402,OWNS,2024-12-30T22:16:49Z
U0000214,A000021403,OWNS,2024-08-05T22:16:49Z
U0000215,A000021501,OWNS,2024-04-04T22:16:49Z
U0000216,A000021601,OWNS,2024-11-30T22:16:49Z
U0000216,A000021602,OWNS,2024-09-17T22:16:49Z
U0000216,A000021603,OWNS,2025-03-15T22:16:49Z
U0000216,A000021604,OWNS,2024-05-27T22:16:49Z
U0000217,A000021701,OWNS,2024-10-13T22:16:49Z
U0000217,A000021702,OWNS,2023-03-03T22:16:49Z
U0000218,A000021801,OWNS,2023-05-30T22:16:49Z
U0000219,A000021901,OWNS,2024-06-29T22:16:49Z
U0000219,A000021902,OWNS,2023-07-01T22:16:49Z
U0000219,A000021903,OWNS,2025-07-19T22:16:49Z
U0000220,A000022001,OWNS,2024-09-28T22:16:49Z
U0000220,A000022002,OWNS,2025-04-20T22:16:49Z
U0000221,A000022101,OWNS,2024-02-25T22:16:49Z
U0000221,A000022102,OWNS,2024-09-14T22:16:49Z
U0000221,A000022103,OWNS,2025-01-15T22:16:49Z
U0000222,A000022201,OWNS,2024-11-14T22:16:49Z
U0000222,A000022202,OWNS,2023-11-07T22:16:49Z
U0000223,A000022301,OWNS,2024-11-27T22:16:49Z
